Index,NET.Open,NET.High,NET.Low,NET.Close,NET.Volume,NET.Adjusted
2020-07-17,36.0499992370605,37.4500007629395,35.3499984741211,37.0200004577637,5960200,37.0200004577637
2020-07-20,37,38.5999984741211,36.8199996948242,38.3699989318848,5154400,38.3699989318848
2020-07-21,38.9799995422363,39.1199989318848,37.810001373291,38.1800003051758,3881800,38.1800003051758
2020-07-22,38.9300003051758,39.0499992370605,37.810001373291,38.0400009155273,2516100,38.0400009155273
2020-07-23,38.3199996948242,38.5800018310547,35.9199981689453,36.4300003051758,3144900,36.4300003051758
2020-07-24,35.2299995422363,36.4550018310547,35,35.7200012207031,3002900,35.7200012207031
2020-07-27,36.4900016784668,37.689998626709,36.1599998474121,37.3600006103516,2721700,37.3600006103516
2020-07-28,38.689998626709,38.689998626709,37.5800018310547,37.6500015258789,4678900,37.6500015258789
2020-07-29,38.4900016784668,39.0800018310547,37.8199996948242,38.7000007629395,2923100,38.7000007629395
2020-07-30,38.3600006103516,41.5,38.3600006103516,41.1300010681152,5678500,41.1300010681152
2020-07-31,42,42.060001373291,40.2099990844727,41.6199989318848,5364300,41.6199989318848
2020-08-03,42.2900009155273,42.8400001525879,41.8600006103516,42.5099983215332,6993300,42.5099983215332
2020-08-04,43.0999984741211,43.1500015258789,41.2799987792969,42.310001373291,4517300,42.310001373291
2020-08-05,42.0800018310547,42.75,41.560001373291,42.4900016784668,3851900,42.4900016784668
2020-08-06,41.8400001525879,42.4099998474121,40,41.3499984741211,8043100,41.3499984741211
2020-08-07,41,45.2799987792969,39.6160011291504,40.060001373291,12303400,40.060001373291
2020-08-10,39.5400009155273,39.5400009155273,36.0400009155273,36.9900016784668,14591200,36.9900016784668
2020-08-11,36.8499984741211,38.1500015258789,36.0400009155273,37.810001373291,7826800,37.810001373291
2020-08-12,38.0999984741211,40.0699996948242,38.0299987792969,38.8600006103516,9585100,38.8600006103516
2020-08-13,39.7099990844727,39.7099990844727,38.2099990844727,38.8499984741211,4062700,38.8499984741211
2020-08-14,38.9500007629395,39.7900009155273,38.1699981689453,38.5,3042400,38.5
2020-08-17,37.7299995422363,39.939998626709,37.689998626709,39.9199981689453,7369900,39.9199981689453
2020-08-18,40.4000015258789,40.4700012207031,39.4599990844727,40.060001373291,4394800,40.060001373291
2020-08-19,39.9300003051758,40.25,38.2599983215332,39.2900009155273,3764700,39.2900009155273
2020-08-20,39.2799987792969,40.4440002441406,39.1199989318848,40.310001373291,3953500,40.310001373291
2020-08-21,40.4500007629395,40.4900016784668,38.9000015258789,38.9199981689453,3271700,38.9199981689453
2020-08-24,38.4099998474121,38.8390007019043,37.2299995422363,38.0900001525879,5468100,38.0900001525879
2020-08-25,37.7000007629395,39.0400009155273,37.310001373291,39.0299987792969,3491000,39.0299987792969
2020-08-26,39.2999992370605,40.3699989318848,38.9599990844727,39.9000015258789,4522500,39.9000015258789
2020-08-27,39.75,40.0200004577637,38.6049995422363,39.7299995422363,3035000,39.7299995422363
2020-08-28,40.2000007629395,40.8400001525879,39.6300010681152,39.6500015258789,3068100,39.6500015258789
2020-08-31,39.7000007629395,39.9000015258789,38.1699981689453,38.2599983215332,4318700,38.2599983215332
2020-09-01,38.939998626709,40.4000015258789,38.939998626709,39.7400016784668,4983700,39.7400016784668
2020-09-02,40.2000007629395,40.3899993896484,37.8499984741211,39,6208700,39
2020-09-03,37.8499984741211,37.9799995422363,35.5400009155273,36.2299995422363,8940100,36.2299995422363
2020-09-04,35.1399993896484,36.2700004577637,32.810001373291,34.7700004577637,7996700,34.7700004577637
2020-09-08,33.060001373291,34.7599983215332,32.6949996948242,32.939998626709,6522900,32.939998626709
2020-09-09,34.0299987792969,34.4199981689453,33.2099990844727,34.0099983215332,4669800,34.0099983215332
2020-09-10,34.4900016784668,35.1199989318848,33.3600006103516,33.5800018310547,3854900,33.5800018310547
2020-09-11,34.0099983215332,34.5629997253418,33.7200012207031,34.1699981689453,6866600,34.1699981689453
2020-09-14,34.4799995422363,35.1399993896484,34.1500015258789,34.8300018310547,4530600,34.8300018310547
2020-09-15,35.25,36.25,35.0699996948242,36.1699981689453,6231500,36.1699981689453
2020-09-16,36.1500015258789,36.3300018310547,35.4700012207031,35.9000015258789,5678100,35.9000015258789
2020-09-17,34.6500015258789,36.1399993896484,34.5299987792969,36.0999984741211,4782500,36.0999984741211
2020-09-18,36.5,37.1809997558594,35.6399993896484,37.0999984741211,11086400,37.0999984741211
2020-09-21,36.5,38.9700012207031,36.5,38.9599990844727,5441100,38.9599990844727
2020-09-22,39.1399993896484,39.9700012207031,37.560001373291,39.8699989318848,4687500,39.8699989318848
2020-09-23,39.9199981689453,40.5999984741211,39.4000015258789,39.9799995422363,5934300,39.9799995422363
2020-09-24,39.0800018310547,39.5800018310547,38.1100006103516,38.5200004577637,4202400,38.5200004577637
2020-09-25,38.8600006103516,40.1399993896484,38.2550010681152,40.0400009155273,2152300,40.0400009155273
2020-09-28,40.1699981689453,41.0499992370605,39.5200004577637,40.8800010681152,3239900,40.8800010681152
2020-09-29,41.1100006103516,41.5,40.4700012207031,40.6699981689453,2710000,40.6699981689453
2020-09-30,40.4700012207031,41.7700004577637,40.1599998474121,41.060001373291,2784300,41.060001373291
2020-10-01,41.5200004577637,42.5400009155273,41.439998626709,42.0299987792969,4843500,42.0299987792969
